"ComputerName";"Connection";"DaysFromUptime";"DateFromLastBootTime";"HourFromLastBootTime";"Name";"Enabled";"State";"Action";"Action_Arguments";"Trigger";"TriggerTypeOfSchedule";"Repetition";"TriggerDayOfWeek";"TriggerDayOfMonth";"LastRunTime";"NextRunTime";"LastTaskResult";"NumberOfMissedRuns";"UserId";"Author";"Path";"Description"
"SRV-NOR-DC1";"Ok";"24";"16/08/2018";"14:43:08";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-11186";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-11186";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-11186";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"SRV-NOR-DC1";"Ok";"24";"16/08/2018";"14:43:08";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-14832";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-14832";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-14832";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"SRV-NOR-DC1";"Ok";"24";"16/08/2018";"14:43:08";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-1680";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-1680";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-1680";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"SRV-NOR-DC1";"Ok";"24";"16/08/2018";"14:43:08";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-20051";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-20051";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-20051";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"SRV-NOR-DC1";"Ok";"24";"16/08/2018";"14:43:08";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-2487";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-2487";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-2487";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"SRV-NOR-DC1";"Ok";"24";"16/08/2018";"14:43:08";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-32947";"True";"Ready";"";"";"IdleTrigger";"";"";;;"12/07/2017 23:15:29";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-32947";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-32947";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"SRV-NOR-DC1";"Ok";"24";"16/08/2018";"14:43:08";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-34646";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-34646";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-34646";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"SRV-NOR-DC1";"Ok";"24";"16/08/2018";"14:43:08";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-35599";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-35599";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-35599";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"SRV-NOR-DC1";"Ok";"24";"16/08/2018";"14:43:08";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-35666";"True";"Ready";"";"";"IdleTrigger";"";"";;;"16/08/2018 11:41:54";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-35666";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-35666";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"SRV-NOR-DC1";"Ok";"24";"16/08/2018";"14:43:08";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-9730";"True";"Ready";"";"";"IdleTrigger";"";"";;;"19/09/2017 16:17:09";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-9730";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-9730";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
